,class,tweet
964,normal,civil seri narrat kenneth clark free youtub
965,normal,youtub link first section first episod
966,normal,civil contemporari yet histori western europ
967,normal,good articl
968,normal,tri see much forc add
969,normal,thank share
970,normal,went chase bank make payment credit card chase bank citi bullet proof glass front teller
971,normal,live citi year old hous start
972,normal,someth
973,normal,love halloween even contemporari theme
974,normal,ghost goblin etc
975,normal,littl kid deck costum
976,normal,choru trick treat halloween appl bellow door
977,normal,put warm smile face everi year
978,hate speech,homosexu ca undo fight white genocid hypocrit rather openli homosexu men side closet fag sexual deviant skulk pretend someth
979,normal,person sexual issu issu us normal peopl either orient sex life centr attent time heterosexu deviant much problem homosexu deviant straight pervert psycho around tri infiltr group homosexu
980,normal,rememb hear talk irv massacr
981,normal,said document show victim sent along sever week food intend kill
982,normal,went baofeng websit chines
983,normal,realli
984,idk/skip,baofeng 左眼技术 采用左眼专利技术 利用cpu和gpu有效提升画质 在线高清 shd专利技术 流畅播放
985,normal,saw one palm spring
986,normal,realli larg
987,normal,surpris see palm canyon drive detail
988,normal,agre would amaz
989,normal,uniqu abil knowledg imagin got togeth us put togeth class children special field
990,normal,sound like heavenli commun
991,hate speech,dude stink bomb event get dark chuck bunch floor differ spot chimp start jive groov step
992,normal,seem peopl board friendli home school yet support home school think segreg boy girl would slow social develop
993,normal,fantasi island live
994,hate speech,faggot alway push homosexu agenda
995,hate speech,even queer small town embolden go peddl homosexu agenda
996,normal,new word week somehow becom word two week torpid tor pid adj dormant hibern
997,normal,letharg syn inact
998,normal,axi histori factbook waffen brigad frankreich french volunt collaborationist forc europ french volunt robert forb book europ french volunt robert forb book ss rk holder
999,normal,care school though
1000,normal,high school got kind hell articl rudolph hess even wn
1001,normal,great
1002,hate speech,need kid honor role colleg crowd
1003,normal,complet two year ago certif attend univers pittsburgh finish kansa state univers nation rank univers
1004,normal,univers substanti number lectur avail free onlin
1005,normal,yale youtub yalecours channel number major univers lectur post well
1006,normal,bewar mani lectur hustl jew cult global human social collectiv
1007,normal,busi admin bachelor may wait colleg system california fall apart fast tuition skyrocket admiss shrink
1008,normal,tri dumb us purpos said say work
1009,normal,look nonsens tv
1010,normal,wife post
1011,normal,love join homeschool discuss
1012,normal,social group join post post publicli want
1013,normal,courag whole german nation put togeth
1014,normal,god protect bless dear ladi
1015,normal,heroin
1016,normal,anoth rel good math resourc video cover wide rang topic know khan ever help
1017,normal,still great liber experi continu
1018,hate speech,eventu kill white go back jungl way
1019,normal,ingrati main entri gra ti ate pronunci function transit verb inflect form ed ing etymolog latin gratia grace gain favor favor accept deliber effort usual use ingrati commun leader william attwood gra ti tion n noun gra tia ry e tor adject
1020,normal,light wonder hitler consid champion german peopl
1021,normal,chang much brief time
1022,normal,find inspir
1023,hate speech,realli surpris go colleg black tell continu behav manner even higher educ
1024,hate speech,alway think somehow exempt rule
1025,normal,bull
1026,normal,actual teach place
1027,normal,aw complain teacher lie student want kid kick
1028,normal,switch school easi
1029,normal,son ever come home someth like bet someth say
1030,normal,st patrick day free book
1031,normal,main free stuff page month
1032,normal,cent unit studi store
1033,normal,cool site
1034,normal,sound like hippyism im leav children valu grab ive said parent dont feel children head good thing pc patrol definit feel head bad thing
1035,normal,lazi reread say teacher teacher asst
1036,normal,might explain year old angl
1037,normal,yeah
1038,relation,far today come across word scum slut bitch
1039,relation,describ sister
1040,normal,stormfront
1041,normal,come pride stay love
1042,normal,would like find document came first publish thank repli
1043,normal,soldier today may face treatment die thing keep go way
1044,normal,high school senior
1045,normal,go colleg month wonder colleg guy prepar pay tip
1046,normal,god sake davison say mani went iran littl went shiraz tehran never saw anyon light hair light eye sinc met green eye never light hair couldnt mani
1047,normal,six rememb dark
1048,normal,began speak english major
1049,normal,search map languag spoken time
1050,normal,quot holston god one claim merci like natur
1051,normal,point version merci god bibl even close thing
1052,normal,say fit punish deal development challeng children rest life
1053,normal,realiti screw punish noth deter rehabilit
1054,normal,watch televis spot jew like
1055,normal,look featur
1056,normal,get pictur old boss compar
1057,normal,still bring attent local media civil societi group
1058,normal,petti celebr worth attent
1059,normal,think white pride world wide work fine white supremacist suit tee
1060,normal,agre rep wait though cheap money massiv bailout croni bankster manipul employ figur etc etc
1061,normal,stock can good still top prioriti
1062,normal,must fall alpin group well
1063,normal,light brown hair light brown eye like father
1064,normal,father sister blond hair light blue eye
1065,normal,mother dark brown hair strike green eye
1066,normal,wish eye color
1067,normal,serious ca figur group belong suggest mighti sisto
1068,normal,bet negro plan insan defens may get
1069,normal,black slit perfectli healthi white woman throat stand behind store reason white woman
1070,normal,negro got found guilti insan defens
1071,normal,oh definit push up sit up time school weight room use go
1072,normal,everyon help nation allianc get involv
1073,normal,help pass na love race flyer big help
1074,normal,make great vvalentin day movement good luck pass flyre
1075,normal,guess case grow big fro big deal
1076,normal,long heart true caus
1077,normal,order cash problem
1078,normal,sometim thing alway report credit card compani get reimburs
1079,normal,love doubl standard
1080,normal,ca white cloth compani negro compani like fubu etc sigh
1081,normal,unfortun rich kid alway get way say ignor kid summer get back alway work
1082,hate speech,white better next time harass someon els form group buddi go proncip offic
1083,normal,never march alon
1084,normal,parent like
1085,normal,older person know act racist around friend mom
1086,normal,funni even taught dog hate black
1087,normal,omg post face board danger holland post face facist allot antifa watch
1088,normal,lol dont know saw somewher franklin forbidden name thanx tri search googl
1089,normal,wulfi
1090,normal,dont see u couldnt go alon mean public place unless he pick someth first post
1091,hate speech,guess got lucki public high school never learn holohoax
1092,normal,ye edit person info give trust
1093,normal,post public messag board invit disast
1094,hate speech,see mani bm wf around citi even funni
1095,normal,actual kind funni black guy see stare tri stare
1096,normal,happen taco bell grin turn away
1097,normal,exclus homosexu high school even go school sex first place
1098,normal,im glad see board back action whew
1099,normal,happi birthday michigan us everyon page heh heh
1100,normal,
1101,hate speech,lol gj brother point uber human sub human ape creatur truli one bad mofo whitey crakker man
1102,normal,yea thought saw episod klanmen call jerri ing jew lol
1103,normal,feel
1104,normal,reason certain school live white prom black prom
1105,normal,keep simpl
1106,normal,ill shave head final get gcse grade c
1107,normal,eta shave head time p
1108,hate speech,what thought might put pic look friend there mani negro around time feel like int white guy left world messag let know stll white brother
1109,normal,well good hear
1110,normal,notic first post
1111,normal,welcom stormfront largest white nationalist commun web
1112,normal,good
1113,normal,never start dont contend addict drug alcohol sex free whole life
1114,hate speech,well im glad hear youth world let hope mudd nigg go
1115,normal,knew kid street home school didnt act like kid age
1116,normal,mayb
1117,normal,way win open eye white cant softli
1118,normal,im half hour pasadena mayb valley im inland empir near ontario freeway interchang
1119,normal,hey everyon would like get togeth peopl state like
1120,normal,lemm know ohio mayb could meet chat
1121,normal,freuer frei
1122,normal,famili fall apart
1123,normal,hate feel like ca anyth
1124,normal,tri everyth talk parent guess choic get divorc happi togeth
1125,normal,sorri delay answer work summer camp
1126,normal,im roxburi
1127,normal,thank address
1128,normal,bad habit leav aol im actual home im back probabl ignor
1129,normal,didnt say run race mix eventu take america major black mix race white minor except certain republican nationalist area
1130,normal,took action scream help get bu
1131,normal,like cheer attack gave weapon restrain victim
1132,hate speech,would surpris woman specif target local jew town abomin treatment
1133,hate speech,must trap somehow sent thru network israel
1134,normal,god save
1135,normal,would say spread inform friend famili well send stori internet site starter
1136,normal,know true heard pick number two french speak better english pick one english get know pretend speak english
1137,normal,
1138,normal,tall straight white male white kid left trigger doubt
1139,normal,hope stop foreign aid fund militari
1140,normal,would never join christian group group would allow christian join
1141,normal,interest group minim
1142,normal,white men women mani white children teach white nationalist caus group
1143,normal,appar came conclus french poor win quebec thu felt destin lose
1144,normal,yeah count lot peopl street day protest jew govern
1145,normal,hello im think go europ next coupl week tri decid ireland eastern europ
1146,normal,go east ill definit go budapest feel free pm want meet
1147,normal,get collect head punch bowl wake go world
1148,normal,white far comfort everi night parti night speak
1149,normal,robbi funni problem
1150,normal,typic afrikaan music
1151,normal,bobbi van jaarsveld kyk waar on nou offici music video youtub danc feel good
1152,normal,two outspoken artist steve hofmey sunett bridg
1153,normal,like video die antwoord fatti boom boom offici video youtub girl dress blackfac show africa savag make fun ladi gaga
1154,normal,seen interview seem trashi
1155,normal,smoke like crazi especi girl three stoog haircut
1156,normal,agre
1157,normal,chang word phrase someth seem less confront noth help us victim
1158,normal,sad stupid petit get fill week like one build death star
1159,normal,take real one serious
1160,normal,peopl say diseas brought kill huge number die unknown diseas columbu came contact
1161,normal,alex jone pro white tri take subvert back forc racial integr
1162,normal,kind whine racism instead call
1163,normal,comment drone race must stick togeth
1164,normal,give big clue goal
1165,normal,good work way mainstream though
1166,normal,
1167,normal,would make crazi saw person
1168,normal,sheer disrespect stand make clean mess laugh
1169,normal,wait singl call racist know talk person
1170,normal,miss someth
1171,normal,absolut
1172,normal,put liber categori far white go
1173,normal,neither one better
1174,hate speech,peopl laugh shake head tell jew danger group peopl
1175,normal,greet well brother
1176,hate speech,thank kind word hope meet new white world one day soon
1177,normal,nope
1178,normal,tri see mani saw race bigger thread appar think way
1179,normal,pastor say truth
1180,normal,anoth reveal one mass brainwash popul obama mother obama father marri alreadi obama bastard child correct youtub v sxkpdxixkgi youtub
1181,hate speech,famili want complain gay come san francisco rais hell gay pride event much better target peopl san francisco openli blasphemi christ parodi last supper poster last event
1182,hate speech,might black smaller brain iq point lower white peopl averag
1183,normal,know
1184,normal,thank share free peac home one
1185,normal,know much longer us
1186,normal,bet ted pike stuff adl hit list look start disappear memori hole
1187,normal,know wheat corn grow pretti fast
1188,normal,bean potato yam
1189,normal,kansa ancestor got great depress without eat cow dung everyth cover dust
1190,normal,seem natur take trash
1191,normal,though starvat horribl way die
1192,normal,yesterday v mtv thing western girl visit famili india
1193,relation,indian teenag show caucasian american girl dissolv cow dung water use broom spread filth floor hous
1194,normal,western teen natur gross cut differ scene
1195,relation,certain cultur practic tell volum peopl
1196,normal,goodi run
1197,normal,absolut stupid
1198,hate speech,white left craphol kill
1199,normal,beelin tv watch onlin tv free internet tv live tv channel got number japanes tv link stream
1200,normal,actual big fan subway alway laugh read
1201,normal,neglect mention jare also ran mile day
1202,normal,white rage dinner
1203,normal,f ck famili buckwheat
1204,normal,youtub hell come
1205,normal,free edgar steel announc start offici fundrais campaign full support cyndi steel fundrais campaign free edgar steel
1206,normal,man charg organ hate like kkk care
1207,normal,peopl known extent feder govern go peopl like thrown prison
1208,hate speech,differ version bad come race traitor date non white bad matter asian black arab
1209,normal,know disgust
1210,hate speech,ca fathom see brainless white along negro counterpart worship obama
1211,normal,also stupid white women watch oprah realiz fact oprah racist
1212,hate speech,probabl victim groid rage rape also
1213,normal,follow one
1214,normal,lenni pitt articl one
1215,normal,knew report lie entir time
1216,normal,take long releas
1217,normal,make
1218,hate speech,perhap walk back h start monday get p system say want tie back car drag across ground till die say joke
1219,hate speech,hope see day theas worthless piec crap
1220,hate speech,jew ever known anyth money say good jew
1221,hate speech,let mother natur evolv peopl natur amount money aid go drag thing civil world serv absolut purpos
1222,normal,hide around knight columbu roman cathol brethern keep close hold young children particularli boy
1223,normal,dr congo troop accus rape govern troop democrat republ congo carri rape civilian caught war rebel group right group say
1224,normal,human right watch say thousand rape rebel soldier past six month
1225,normal,
1226,normal,
1227,normal,mind boggl mean cut run hand
1228,normal,
1229,normal,probabl get food food kiosk garbag site want carri far
1230,normal,someth tell sit wrong section stormfront bu
1231,normal,believ judg post belong toward back
1232,hate speech,sa went first world botha rule deklerk count third world begger hord
1233,normal,embarass
1234,hate speech,show thick actual one bullet end starv ask white feed
1235,normal,precis
1236,normal,bad percent public school kid taught everyth truth
1237,hate speech,doubt come leprechaun chines flavor uncl sam
1238,normal,think main problem movement subtl approach need use word promot controversi instead say racial puriti use word like iden
1239,hate speech,white glori imposs larg hord
1240,normal,wonder lord ring hate social engin
1241,normal,youtub
1242,normal,inform
1243,normal,reread time get clear thank post
1244,normal,heard black peopl pretend ghetto money live ghetto
1245,normal,rumour
1246,normal,think world star hip hop mandatori view everi singl white person planet period
1247,hate speech,raw footag beast moment candor much reveal persuas help fellow white brother sister see truth thousand book could ever
1248,hate speech,disgust negro make us white peopl look bad
1249,hate speech,flag report skyyjohn channel youtub sent blind date
1250,normal,youtub
1251,normal,good thing zionist polic keep come take everyth earn arrog
1252,normal,actual colleg degre choos make live cannot sit desk front comput day
1253,normal,make tire
1254,normal,cologn seat
1255,normal,thiev liar alway think steal lie
1256,normal,youtub
1257,normal,mani year ago mayb ammo anyway rather send donat thousand
1258,normal,crime youtub black student attack white man eat dinner black man youtub black attack white hopkin research plan
1259,normal,negro riot time black panther parti ralli youtub nypd vs black peopl macon st riot youtub nbpp vs nypd
1260,normal,youtub black savag bake puppi aliv
1261,normal,youtub dog set fire give bih youtub anim abus child care center chicago ghetto
1262,normal,immigr go white countri reason econom
1263,hate speech,mayb resettl deliber refuge mayb come women like chines men
1264,normal,absolut vodka compani anti white sponsor rupaul drag race huge advoc lgbt commun well first compani ever sponsor gay parti back behind scene absolut vodka cocktail perfect youtub
1265,normal,join site hour ago ive visit hand interest topic thing dont see mainstream anymor actuali hell say never ever seen main stream ever damn shame
1266,hate speech,say none crap happen world go chang unless peopl larg scale actual stand say enough drag scum street deal violent way
1267,normal,put cursor american dissid voic tab click link menu drop
1268,normal,tri find crappi commerci youtub first came could post
1269,normal,anyth goe day make white look like total jack ass
1270,normal,look preserv crap eat
1271,normal,food meat produc
1272,normal,never ever groceri look like
1273,normal,even like buy carton juic
1274,normal,biggest problem face race today non white immigr move white dont want live near ghetto
1275,hate speech,know mani ethnic neighbourhood soon turn slum
1276,normal,media also promot race mix cool
1277,normal,seen young white girl boy act like black baggi pant hip hop
1278,hate speech,soon mind ok date children thu pollut great race push us toward extinct
1279,normal,bessi mae whyman orang counti grand juri indict anthoni darnel wade lo angel last year sever feloni count
1280,normal,updat bessi whyman oc homicid rob tortur murder orang counti news navel gaze
1281,normal,video black pack attack pack black attack teen white girl restaur drag hair park lot beat refus allow back restaur continu beat black onlook laugh humili pain suffer
1282,normal,hate crime video post
1283,normal,david allen snyder age die octob resid findlay ohio r p david allen snyder obituari coldern crate funer home juri took four hour tuesday afternoon earli even convict corneliu patterson junior octob murder david snyder jennif lane apart complex men live
1284,normal,wfin news tom sheldon scott jen findlay ohio
1285,normal,thread reduc tear mani time sometim avoid yet thank op
1286,normal,thor soderberg shot kill racin
1287,normal,white chicago cop kill gun attack behind nnn report newsroom forum r p
1288,normal,orthodox cantor told juror michael jackson jewish music sentenc manhattan yesterday least year prison swindl washington height woman
1289,normal,victim judi burstein met singer michoel streicher perform five year ago rockland counti brooklyn lakewood nj
1290,normal,streicher pose rabbi took money promis use purchas torah instead pocket juri found convict grand larceni april
1291,normal,make clear someon bother read attach link
1292,normal,anim rape murder six year old white child
1293,normal,may victim war white rest peac
1294,normal,pray soul heaven famili heal spirit
1295,hate speech,white follow mani abort mani mix marriag mani kid marriag mani liber
1296,hate speech,need elimin element white race
1297,normal,youtub mayor boston send welcom gay transgend youth event kid attend prom sexual hell wo believ children young year old parti famili advoc outrag prom held boston citi hall open children appar young featur crossdress homosexu heavi pet suspect drug use doorman teach sexual bondag class
1298,normal,children middl school high school across massachusett may attend youth pride day event end prom insid boston citi hall sponsor boston allianc gay lesbian bisexu transgend youth bagli group seat massachusett commiss glbt youth
1299,normal,fa pageid
1300,hate speech,saw hershey commerci tv ca find jewtub show white woman happili share candi mop head groid male escal guess wo buy stuff ever
1301,normal,notic say kid jew
1302,hate speech,jew piec garbag hell care happen
1303,hate speech,sad happen want take think want date one negro women
1304,normal,bid good night
1305,normal,glad abl get back ns ns thread
1306,normal,edit reveal imag
1307,normal,stormfront usual tri respect feel find scantili dress bikini etc imag suggest pose tacki
1308,normal,like putin behind kill certain crimin gang caucasu corrupt member russian militari secur agenc
1309,normal,dmitriy hvorostovskiy princ yeletski queen spade tchaikovski dmitri hvorostovski metropolitan opera youtub ya va lyublyu dmitri hvorostovski rene fleme dmitri hvorostovski perform final scene tchaikovski yevgeni onegin part youtub yevgeni onegin final scene hvorostovski fleme rene fleme dmitri hvorostovski perform final scene tchaikovski yevgeni onegin part ii youtub yevgeni onegin final scene hvorostovski fleme ii rene fleme tatiana dmitri hvorostovski eugen onegin first act aria tchaikovski opera
1310,normal,youtub dmitri hvorostovski eugen onegin onegin act aria rene fleme dmitri hvorostovsk lippen schweigen lehar die lustig witw youtub lippen schweigen hvorostovski fleme offtop bonus hvorostovski troika youtub hvorostovski troika dmitri hvorostovski temnaya noch youtub temnaya noch dmitri hvorostovski littl bell youtub hvorostovski littl bell dmitri hvorostovski moscow night youtub dmitri hvorostovski moscow night
1311,normal,jew white skin make white
1312,normal,white
1313,normal,eye nose skin tone give away
1314,normal,skin tone white eye
1315,normal,site becom legendari open video section access option com jdownload itemid task cid new year congratul option com jdownload itemid task cid fli untermench
1316,normal,happi see white movi though could jew half jew would know
1317,hate speech,somebodi ahero lololol offici billionari ten f thousand millionari ten million poor miser look pittanc garbag place
1318,normal,ye born svrljig
1319,normal,februari graduat faculti dramat art univers belgrad actor
1320,normal,unfortun star partisan film
1321,normal,tv show yesterday regardin crime foreign russia black man stood proclaim crime colour race everi vigoursoli clap
1322,normal,ye figur sound correct line impress got
1323,normal,guess term blond somewhat subject swede vast major spaniard brunett
1324,normal,offer read
1325,normal,read million figur million figur estim million figur compromis
1326,normal,pleas excus ignor
1327,hate speech,play fox news went ape schmidt pun intend news suck least peopl get coupl second real news secondli ive never heard sheboon new speci chimpout famili
1328,hate speech,think threat russian jew
1329,hate speech,realli jew million bastard bodi countri
1330,normal,
1331,normal,accord russian censu ten thousand chines russia thought group like chines avoid inclus censu
1332,normal,
1333,normal,gonna long post see konavl look better map small land import
1334,hate speech,hope patriot throu egg say thing like get jungl think coach make go trainnig minu uuuu never abl play agan fli africa first tran
1335,relation,old school pictur think
1336,relation,hope class futur russia
1337,normal,pray
1338,hate speech,could never pictur site one women holi ru shack islam mud fithi impoverish godforsaken mountain hole
1339,normal,good wish someon stand interest live stand like ever happen
1340,normal,peter draft armi said
1341,normal,look like good kind armi occasion internet access
1342,normal,hello oleg know would thought pictur one boer famili south africa regard joe
1343,normal,youtub teacher attack white year old attack white teacher explicitli white
1344,normal,attack teacher last week
1345,normal,see thread racial motiv attack white teacher middl schooler beat white woman teacher bu way school
1346,normal,interest subject sustain member may find follow thread interest also ml
1347,normal,thank kind word toward nation friend alway welcom friend brother see wnn also
1348,normal,ye sick person ident crisi need therapi
1349,normal,live forum day job
1350,normal,gun train martial art
1351,normal,know rather fight swedish male asian kung fu expert
1352,normal,size rare matter
1353,normal,one ugli pictur
1354,hate speech,earth swedish parent let kid grow ethnic school
1355,normal,ca good
1356,normal,riga day
1357,normal,anyon like meet drink love say hello pm repli
1358,normal,someon suggest reliabl onlin sourc inform anthropolog classif differ popul scandinavian baltic countri
1359,normal,thank
1360,hate speech,would refus even nordic white flee brown chao south
1361,normal,would pick finland though
1362,normal,pictur truli revolt
1363,hate speech,matter dress mud
1364,hate speech,mud mud mud
1365,normal,know respons
1366,normal,gypsi woman like black sabbath dont like gypsi
1367,normal,watch finland item attack
1368,normal,well white european team latin american team done well far white team come far consid incred sinc next game germani would wonder northern european team alreadi read german superior rascist remark pamela leigha
1369,normal,sympathi
1370,hate speech,ye muslim breed like vermin believ part intent breed race order make major
1371,normal,karina sorensen member danish peopl parti heritag parti
1372,idk/skip,sørensen år er født april kold
1373,idk/skip,har taget en på handelsskolen nyborg
1374,idk/skip,medlem af dfuì bestyrels
1375,idk/skip,sin fritid går karina sørensen på jagt med sin far dyrker styrketræn eller nyder tilværelsen med sin kærest
1376,idk/skip,valgt vejl amt som folketinget yngste medlem nogensind
1377,idk/skip,karina sørensen er medlem af økontaktudvalget
1378,normal,karina sorensen member danish peopl parti heritag parti
1379,normal,sørensen year old born april kold
1380,normal,earn degre nyborg busi school
1381,normal,member dfu director
1382,normal,free time karina sørensen goe hunt father ador exercis also enjoy spend time close friend
1383,normal,elect fredericia district vejl region youngest member histori assembl
1384,normal,karina sørensen member parti outreach group
1385,hate speech,would like say proudli say jew iceland tri get sent back germani
1386,hate speech,thank odin tri come modern day
1387,normal,noth logic number want loos subraci ethnic prefer mix marriag among white peopl race mix marriag
1388,normal,interest
1389,normal,like invit anyth come hope share news
1390,normal,met mr griffin found amiabl well spoken
1391,normal,hope goe well sweden live love
1392,normal,anyway good luck
1393,normal,homo tri fag pride parad serbia year ago beaten
1394,normal,suggest anyth
1395,normal,aragorn
1396,normal,three half hour told still keep talk noth
1397,normal,damn make tag along
1398,normal,go sleep wake reason earli morrow
1399,normal,pleas tri behav naughti children
1400,normal,good night europ
1401,normal,hope today event help teach european peopl travel bad road
1402,normal,think free healthcar free educ given citizen countri undesir
1403,normal,shock similiar incid boy england recent kill muslim wear england shirt
1404,normal,person think nordic royal marri nordic german peopl although watch tv noth mari australian
1405,normal,claim would like go back home one day year finland longer wish
1406,normal,one ever ask opinion someon said know soul countri well mayb presid want turkey eu
1407,normal,susan
1408,idk/skip,mistenkt krigsforbrytels søker asyl norg en tsjetsjen ettersøkt terrorhandling og en libanes mistenkt å ha begått krigsforbrytels bor på asylmottak norg med sine famili
1409,idk/skip,myndigheten vurder nå om de skal få perman oppholdstillatels
1410,normal,artid suspect warcrim seek asylum norway chechen want warcrim lebanes suspect warcrim live asylum recept center norway famili
1411,normal,govern judg grant perman resid
1412,normal,lebanes one massacr sabra shattila direct israel
1413,hate speech,chechen beast one commit kill name allah russian brother like theater moskva
1414,hate speech,may put away good
1415,hate speech,need scum
1416,normal,wolf
1417,normal,look like denni list
1418,normal,would love two minut alon room whatev brain faggot came advertis
1419,normal,aoh legend
1420,normal,plan ireland within next year
1421,normal,hope mind irish american skin join rank
1422,normal,like move belfast
1423,normal,famili
1424,normal,
1425,normal,guess ireland would know well organis afa
1426,normal,one day though day come
1427,normal,problem problem us irish well ca complain
1428,normal,choos isol hous away local come go car invit neighbour around knee
1429,normal,especi consid fact direct flight nigeria ireland make even shock
1430,hate speech,made sick look black asian
1431,normal,look toy show tonight swear irish minor ireland
1432,hate speech,oh dear isnt terribl well suppos leav go somewher valu
1433,hate speech,nigerian bitch think elect tallaght rude awaken
1434,normal,lynch perhap elect
1435,normal,sould made youtub video stori put cop white dead guy black
1436,normal,send pm go
1437,hate speech,welcom chang see fellow wn see hundr lefti bastard go see ratm
1438,normal,
1439,normal,right would say noth done fast year irish peopl doom
1440,normal,e u soviet system much wors
1441,normal,appear ireland save europ possibl entir western world
1442,normal,well done
1443,normal,time drive traitor
1444,normal,yah sad see irish dont quash soon last kelt gone world
1445,normal,littl john system come type enemi rest
1446,hate speech,hell creatur think anyway
1447,hate speech,perhap proud indigen inhabit dublin want cultur enrich ruin tripe like
1448,normal,attack young boy condemn post site matter lad cathol protest attack place white commun
1449,normal,heard radio local council decid give hous emerg accomod promis hous new social hous develop area
1450,hate speech,disgust foreign come stamp feet jump good irish famili get want
1451,hate speech,save ireland job work msi say import job tri stop immigr invas ireland
1452,relation,doubt bulk vote came ever grow chines immigr commun around belfast
1453,relation,scum
1454,hate speech,back ya came
1455,normal,irish pupil get less teacher time busi help immigr chrildren get date
1456,normal,wonder anyon els troubl access click click come dottk registr page anyon help
1457,normal,think everybodi knew check thread skinhead rish skinhead knowbodi trust day one yet still went ahead stori old news fool star even print dont notic post joeblog defend self
1458,normal,peopl go countri year come back money bank given black illeg immigr shock
1459,normal,said irish media scare pleas give us go bad media lie beliv irish peopl
1460,normal,thread cover ground northern ireland thread proceed without flame
1461,normal,gone find
1462,normal,irish boyfriend year use laugh ireland never saw black peopl guess thing chang lot odd year
1463,hate speech,road break heart everi time go galway citi see amount black week walk shop street moslem stand street sell copi koran
1464,hate speech,dont even work doubt push high posit societi
1465,hate speech,dont number kick ireland yet know
1466,hate speech,take wrong pig pig countri actress play part show
1467,normal,sure ye cours think
1468,normal,sit back radio mug tea wait favourit bbc radio show come forget truth
1469,normal,go okay sshh
1470,hate speech,sadest news ever heard entir life ireland white countri like say world end
1471,normal,wow
1472,normal,cant believ actual wast sever minut life read page
1473,normal,actual suppos evid celtic commun nz contain page
1474,normal,certainli found none
1475,normal,believ ireland need wn parti quit quickli amount non white seen dublin
1476,normal,anyon want send us photo activ
1477,normal,video etc welcom
1478,normal,get lead exampl
1479,normal,alot work done
1480,hate speech,goe show ira crimin freedom fighter claim
1481,hate speech,crimin scum
1482,normal,defeat bloodi object ignor facil one read thread doh pray want god wont count em
1483,normal,justin barrett yesterday lastword today fm listen show link justin come half hour program
1484,normal,
1485,normal,record journalist wrote articl week ago tell us mongrelis
1486,normal,starter would good obtain hundr thousand dollar small farm million two bigger one
1487,normal,vancouv burnabi richmond surrey guarante wors calgari
1488,hate speech,becom unbear serious chang person watch countri decim
1489,normal,canada brought immigr total time
1490,normal,canada brought immigr timess time year
1491,normal,time last year time year
1492,hate speech,time last year time next gener fight back regain countri babi boomer lose us noth
1493,normal,wisdom post
1494,normal,take everyth grain salt wolv come sheep cloth heart know right
1495,normal,welcom fight
1496,normal,grew small town southern n b good half life region call king counti white except liter black peopl never mix white
1497,normal,french n b commun near quebec especi would white
1498,normal,hi ye anywher maritim full cultur like old fashion valu white citi go st john newfoundland
1499,normal,ton cultur great friendli peopl
1500,hate speech,last thing want move reserv
1501,normal,still prefer nativ everi japanes korean
1502,hate speech,seem like cant get away parasit anymor happen get wors everywher
1503,normal,hope wake call dont believ caus
1504,normal,dont see peopl ignor issu much longer
1505,normal,sure sun media suck israel also media will tell truth danger islam call nativ b
1506,normal,exactli network devot white nationalist across canada know could actual accomplish
1507,normal,get mine outlet even enemi one
1508,normal,good keep track enemi well see say
1509,normal,live bc moment live alberta life
1510,normal,damn canada
1511,normal,sure ironi said prevent theft crimin book act theft would make crimin
1512,normal,abl answer done sever time
1513,normal,ulterior motiv cours
1514,normal,want vote ye time way look either way loos
1515,hate speech,need turn tv see advertis everywher mostli african ape attract white woman
1516,normal,disgust countri becom
1517,normal,agre everyth said mate thing eu immigr dont say matter open border
1518,normal,everyon sf britain respect european wish politician would think immigr problem look london mad
1519,normal,also would problem spain sent back hundr thousand brit back home dont right flood countri like folk
1520,normal,get lad
1521,normal,bad news
1522,normal,pass andi cameron hous morn heard gargl
1523,normal,andi cameron alli tartan armi totp youtub
1524,normal,went edl ralli luton coupl year ago tell edl real nationalist bunch drunk footbal hooligan disgrac
1525,relation,wait open door poor peopl tb capit europ romania
1526,relation,look forward case resist mdr extens drug resist xdr tb becom common diseas
1527,normal,look way goth emo punk white
1528,normal,mayb hate crime appli white odd fashion
1529,normal,may share good peopl board delight enrich video found youtub town grew
1530,normal,notic love pakistani peopl celebr warm cockl heart realli
1531,normal,one young pakistani youth seen joy celebr stand roof bu
1532,normal,laugh laugh antic whilst anoth coupl pakistani youth celebr hitch temporari ride tk maxx lorri
1533,normal,hilari
1534,normal,joy time inde
1535,normal,pleas notic well none racist intoler vile white peopl hang caus troubl forc long ago
1536,normal,hope enjoy celebr much rememb peopl multicultur work racism pakistani celebr jeet toot youtub
1537,normal,wonder introduc would trust anyth taught school noth school better white children anyth newli introduc especi time live would highli sceptic
1538,normal,politician need keep feed keep number eventu come vote
1539,normal,fast natur tri thin countri undo work
1540,normal,best thing go along blood honour one london week
1541,normal,rampag product welcom blood honour forum
1542,hate speech,offici websit british peopl parti unpleas truth zionist ass licker dup
1543,normal,hi join forum look forward join discuss fellow white nationalist interest debat good amongst friend thewhitewolf
1544,normal,wonder see pictur cop garland round neck danc nativ year
1545,normal,recent watch item bbc news headteach school birmingham interview lack fund
1546,normal,say shock said kid junior school spoke differ languag teacher devis system hand signal commun
1547,normal,absolut mad
1548,hate speech,figur show one could talk need restrict immigr current govern repatri absolut essenti
1549,hate speech,never give jew keep tri open border send third world minion european peopl never capitul
1550,normal,fals scotland almost bad england scottish femal obsess negro male well one know anyway
